video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date,bias,weight,classifs,classif,pick,round,rec_from
QCceG764SAk,FWD.us,UCYph2-yEuBLeE3I5_nptlnw,1437704452.0,Expensify CEO David Barrett Testifies for Immigration Reform During Small Business Committee Hearing,"During a hearing on how app technology companies, such as Expensify, are a crucial and growing part of the U.S. economy, Expensify CEO Dave Barrett ...",,https://i.ytimg.com/vi/QCceG764SAk/hqdefault.jpg,2020-10-30 11:39:26.068550,Right,0.0,['None'],Neutral,True,2,hJiCysoxmNU
MPbHnzQ3WPg,Noticias Internacionales,UCvDr9-SW_pJKcnCZrZR4Avw,1603612802.0,DURO GOLPE! DONALD TRUMP recibe un ATAQUE que no esperaba a días de las ELECCIONES en EEUU! US NEWS!,El CEO de Expensify envía correos electrónicos a 10 millones de clientes y les dice que un voto en contra de Biden es un voto en contra de la democracia y En ...,,https://i.ytimg.com/vi/MPbHnzQ3WPg/hqdefault.jpg,2020-10-30 11:39:26.068589,Right,0.0,['None'],Neutral,False,2,hJiCysoxmNU
bBSCv_a6F7c,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,1603471512.0,Democrats boycott Senate vote on Supreme Court pick,"The United States Senate Judiciary Committee has approved the pick of Amy Coney Barrett to become the next lifetime Supreme Court justice, with a final vote ...",,https://i.ytimg.com/vi/bBSCv_a6F7c/hqdefault.jpg,2020-10-30 11:39:26.068618,Right,0.0,"['StateFunded', 'Mainstream News']",Neutral,False,2,hJiCysoxmNU
AN9BRrsoB3s,Cointelegraph News,UCcV_9Fu9wKxrI7qI9QBO5Zg,1603740349.0,Charles Hoskinson calls for a different kind of apoliticism than Brian,"My first thought was he must have been hacked”, said Hoskinson, reflecting on opening an email he received from David Barrett, the CEO of Expensify, urging ...",,https://i.ytimg.com/vi/AN9BRrsoB3s/hqdefault.jpg,2020-10-30 11:39:26.068645,Right,0.0,['None'],Neutral,False,2,hJiCysoxmNU
b-jS94TK48I,WFLA News Channel 8,UCDvJcb8Adv-_bOrtnRLmiDw,1600927290.0,Florida AG opens investigation to see if Mike Bloomberg violated election laws,Investigator Mahsa Saeidi has the latest.,,https://i.ytimg.com/vi/b-jS94TK48I/hqdefault.jpg,2020-10-30 11:39:26.068671,Right,0.0,['Mainstream News'],Neutral,False,2,hJiCysoxmNU
xvmMNknWlMo,999 Tv,UCaznLylX-htDnmx4rafzuFQ,1603533000.0,Expensify’s CEO emails all 10 million customers telling them to vote for Biden,"That's right, I'm saying a vote for Trump, a vote for a third-party candidate, or simply not voting at all — they're all the same, and they all mean: 'I care more about ...",,https://i.ytimg.com/vi/xvmMNknWlMo/hqdefault.jpg,2020-10-30 11:39:26.068698,Right,0.0,['None'],Neutral,False,2,hJiCysoxmNU
VG-EDSm88hw,CBSN,UC2tg0g4H9h9bDfvuyBGxeRA,1437515084.0,Sen. Graham has harsh words for &quot;jackass&quot; Donald Trump,"Senator Lindsey Graham tells Donald Trump to ""stay in the race, stop being a jackass."" CBSN's Meg Oliver and Elaine Quijano talk with the GOP presidential ...",,https://i.ytimg.com/vi/VG-EDSm88hw/hqdefault.jpg,2020-10-30 11:39:26.068724,Right,0.0,['None'],Neutral,False,2,hJiCysoxmNU
WQ3poal4Lgc,AP Archive,UCHTK-2W11Vh1V4uwofOfR4w,1437768803.0,US Pres welcomes Mexican Pres Calderon to White House,"(19 May 2010) 1. Mexican President Felipe Calderon's car pulls up to White House South Lawn 2. President Calderon and his wife, Margarita Zavala, getting out ...",,https://i.ytimg.com/vi/WQ3poal4Lgc/hqdefault.jpg,2020-10-30 11:39:26.068753,Right,0.0,"['StateFunded', 'Mainstream News']",Neutral,False,2,hJiCysoxmNU
Fn36KBAq9yk,AP Archive,UCHTK-2W11Vh1V4uwofOfR4w,1437769545.0,Immigrant rights supporters converged on the National Mall to rally for immigration reform.  Activis,HEADLINE: Raw video: Thousands rally for immigration reform immigration rally CAPTION: Immigrant rights supporters converged on the National Mall to rally ...,,https://i.ytimg.com/vi/Fn36KBAq9yk/hqdefault.jpg,2020-10-30 11:39:26.068780,Right,0.0,"['StateFunded', 'Mainstream News']",Neutral,False,2,hJiCysoxmNU
D61JomiUvcc,AP Archive,UCHTK-2W11Vh1V4uwofOfR4w,1437768906.0,Protesters near the White House urged President Barack Obama to fulfill his campaign promises to ach,HEADLINE: Raw video: Immigrant groups rally outside White House CAPTION: Protesters near the White House urged President Barack Obama to fulfill his ...,,https://i.ytimg.com/vi/D61JomiUvcc/hqdefault.jpg,2020-10-30 11:39:26.068805,Right,0.0,"['StateFunded', 'Mainstream News']",Neutral,False,2,hJiCysoxmNU
