video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date,weight,classifs,classif,pick,round,rec_from
6LYwy1w_qqU,Good Morning America,UCH1oRy1dINbMVp3UFWrKP0w,1531773265.0,Comedian&#39;s show debuts to political backlash,"Sacha Baron Cohen targets everyone from Bernie Sanders to Sarah Palin while in disguise for his Showtime series, ""Who Is America?""",,https://i.ytimg.com/vi/6LYwy1w_qqU/hqdefault.jpg,2020-10-22 13:09:39.370938,-0.8,"['SocialJustice', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Left,True,0,start
2srmhgZwcJs,CNN,UCupvZG-5ko_eiXAupbDfxWw,1532407337.0,Lawmaker drops pants and uses N-word on TV show,Georgia House Speaker David Ralston is calling for the resignation of a state lawmaker who dropped his trousers and repeatedly used the N-word on an ...,,https://i.ytimg.com/vi/2srmhgZwcJs/hqdefault.jpg,2020-10-22 13:09:39.370969,0.375,"['Mainstream News', 'PartisanLeft', 'Conspiracy', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News']",Neutral,False,0,start
idMn_1gcVFs,The Jonathan Ross Show,UCgurmV2nVq_1DUb2pvGOKmg,1579632986.0,Sacha Baron Cohen Relives Times He Went Too Far | The Jonathan Ross Show,"Actor and comedian Sacha Baron Cohen joins Jonathan on the sofa and reflects on some of the worst reactions his work has provoked.

ORIGINAL BROADCAST DATE: 13 February 2016
Series 10, Episode 6.

Subscribe to The Jonathan Ross Show YouTube channel for weekly videos and the best bits from the show - http://www.youtube.com/TheJonathanRossShow

Follow the show on Twitter: https://twitter.com/JRossShow
Like the show on Facebook: https://www.facebook.com/TheJonathanRossShow

#TheJRshow #SachaBaronCohen #Borat2",,https://i.ytimg.com/vi/idMn_1gcVFs/hqdefault.jpg,2020-10-22 13:09:39.669554,0.0,['None'],Neutral,False,1,6LYwy1w_qqU
kgepxyAAnps,Jimmy Kimmel Live,UCa6vGFO9ty8v5KZJXQxdhaw,1541606641.0,Sacha Baron Cohen on Pranking Politicians,"Sacha talks about 'voting' in the midterm election, pranking politicians like former Vice President Dick Cheney, Rep. Dana Rohrabacher and former Rep. Jason Spencer, upsetting conservatives in Arizona with his plans to build a mega mosque, and needing a bullet proof clipboard – all for his very funny show 'Who is America?'

For more of Sacha’s pranks, check out “Who is America?” here…
 
https://www.youtube.com/watch?v=QkXeMoBPSDk
 
https://www.youtube.com/watch?v=4k4pMTsa1Kw
 
https://www.youtube.com/playlist?list=ELdWrrUpbus-BOcwM2LDR-KA
 
 
Lie Witness News - Did You Vote in the Midterms Today? https://youtu.be/UNKRZs_a5vk  
 
SUBSCRIBE to get the latest #KIMMEL: http://bit.ly/JKLSubscribe
 
Watch Mean Tweets: http://bit.ly/KimmelMT10
 
Connect with Jimmy Kimmel Live Online:
 
Visit the Jimmy Kimmel Live WEBSITE: http://bit.ly/JKLWebsite
Like Jimmy Kimmel on FACEBOOK: http://bit.ly/KimmelFB
Like Jimmy Kimmel Live on FACEBOOK: http://bit.ly/JKLFacebook
Follow @JimmyKimmel on TWITTER: http://bit.ly/KimmelTW
Follow Jimmy Kimmel Live on TWITTER: http://bit.ly/JKLTwitter
Follow Jimmy Kimmel Live on INSTAGRAM: http://bit.ly/JKLInstagram
 
About Jimmy Kimmel Live:
 
Jimmy Kimmel serves as host and executive producer of Emmy-winning ""Jimmy Kimmel Live,"" ABC's late-night talk show.

""Jimmy Kimmel Live"" is well known for its huge viral video successes with 5.6 billion views on YouTube alone.
Some of Kimmel's most popular comedy bits include - Mean Tweets, Lie Witness News, Jimmy's Twerk Fail Prank, Unnecessary Censorship, YouTube Challenge, The Baby Bachelor, Movie: The Movie, Handsome Men's Club, Jimmy Kimmel Lie Detective and music videos like ""I (Wanna) Channing All Over Your Tatum"" and a Blurred Lines parody with Robin Thicke, Pharrell, Jimmy and his security guard Guillermo.
Now in its sixteenth season, Kimmel's guests have included: Johnny Depp, Meryl Streep, Tom Cruise, Halle Berry, Harrison Ford, Jennifer Aniston, Will Ferrell, Katy Perry, Tom Hanks, Scarlett Johansson, Channing Tatum, George Clooney, Larry David, Charlize Theron, Mark Wahlberg, Kobe Bryant, Steve Carell, Hugh Jackman, Kristen Wiig, Jeff Bridges, Jennifer Garner, Ryan Gosling, Bryan Cranston, Jamie Foxx, Amy Poehler, Ben Affleck, Robert Downey Jr., Jake Gyllenhaal, Oprah, and unfortunately Matt Damon.

Sacha Baron Cohen on Pranking Politicians
https://youtu.be/kgepxyAAnps",,https://i.ytimg.com/vi/kgepxyAAnps/hqdefault.jpg,2020-10-22 13:09:39.669591,-1.7142857142857142,"['LateNightTalkShow', 'PartisanLeft', 'PartisanLeft', 'LateNightTalkShow', 'PartisanLeft', 'SocialJustice', 'LateNightTalkShow']",Far Left,True,1,6LYwy1w_qqU
4k4pMTsa1Kw,SHOWTIME,UCtwMWJr2BFPkuJTnSvCESSQ,1532371588.0,Official Clip ft. Jason Spencer | Ep.2 | Who Is America? | SHOWTIME,"A comedy from Sacha Baron Cohen.

All Episodes Available Now, only on SHOWTIME.

#WhoIsAmerica 

Learn More About WHO IS AMERICA? https://s.sho.com/2JuGkPH

Subscribe to the SHOWTIME YouTube channel: http://goo.gl/esCMib

Get SHOWTIME merchandise now: https://s.sho.com/33FGC1D

Get more WHO IS AMERICA?:
Follow: https://twitter.com/SHOwhoisAmerica
Like: https://www.facebook.com/ShowtimeOnWatch/  
Instagram: https://www.instagram.com/showhoisamerica/
Website: http://www.sho.com/who-is-america",,https://i.ytimg.com/vi/4k4pMTsa1Kw/hqdefault.jpg,2020-10-22 13:09:39.669622,-0.5,"['PartisanLeft', 'Mainstream News']",Neutral,False,1,6LYwy1w_qqU
byGJzMhcRSk,SHOWTIME,UCtwMWJr2BFPkuJTnSvCESSQ,1532643926.0,"""Gangster Rap"" Battle Ep. 3 Official Clip | Who Is America? | SHOWTIME","A comedy from Sacha Baron Cohen.

All Episodes Available Now, only on SHOWTIME.

#WhoIsAmerica 

Learn More About WHO IS AMERICA? https://s.sho.com/2JuGkPH

Subscribe to the SHOWTIME YouTube channel: http://goo.gl/esCMib

Get more WHO IS AMERICA?:
Follow: https://twitter.com/SHOwhoisAmerica
Like: https://www.facebook.com/ShowtimeOnWatch/  
Instagram: https://www.instagram.com/showhoisamerica/
Website: http://www.sho.com/who-is-america",,https://i.ytimg.com/vi/byGJzMhcRSk/hqdefault.jpg,2020-10-22 13:09:39.669650,-0.5,"['PartisanLeft', 'Mainstream News']",Neutral,False,1,6LYwy1w_qqU
QkXeMoBPSDk,SHOWTIME,UCtwMWJr2BFPkuJTnSvCESSQ,1531545488.0,Kinder Guardians | Who Is America? | Sacha Baron Cohen SHOWTIME Series,"A comedy from Sacha Baron Cohen.

All Episodes Available Now, only on SHOWTIME.

#WhoIsAmerica 

Learn More About WHO IS AMERICA? https://s.sho.com/2JuGkPH

Subscribe to the SHOWTIME YouTube channel: http://goo.gl/esCMib

Get SHOWTIME merchandise now: https://s.sho.com/33FGC1D

Get more WHO IS AMERICA?:
Follow: https://twitter.com/SHOwhoisAmerica
Like: https://www.facebook.com/ShowtimeOnWatch/  
Instagram: https://www.instagram.com/showhoisamerica/
Website: http://www.sho.com/who-is-america",,https://i.ytimg.com/vi/QkXeMoBPSDk/hqdefault.jpg,2020-10-22 13:09:39.669678,-0.5,"['PartisanLeft', 'Mainstream News']",Neutral,False,1,6LYwy1w_qqU
j56uo9YzJz8,Good Morning Britain,UCq18eeL7D9Vd8DhjMcLh9QQ,1531936917.0,Piers Presses Joe Walsh Over Sacha Baron Cohen Stunt | Good Morning Britain | Good Morning Britain,"Former congressman Joe Walsh was featured on Sacha Baron Cohen's new satirical series and says he was tricked into saying he supported arming children with guns. Piers presses the congressman on why he said what he did in the video. 
Subscribe now for more! http://bit.ly/1NbomQa

Broadcast on 18/07/2018 

Like, follow and subscribe to Good Morning Britain!

The Good Morning Britain YouTube channel delivers you the news that you’re waking up to in the morning. From exclusive interviews with some of the biggest names in politics and showbiz to heartwarming human interest stories and unmissable watch again moments. 

Join Susanna Reid, Piers Morgan, Ben Shephard, Kate Garraway, Charlotte Hawkins and Sean Fletcher every weekday on ITV from 6am.

Website: http://bit.ly/1GsZuha
YouTube: http://bit.ly/1Ecy0g1
Facebook: http://on.fb.me/1HEDRMb
Twitter: http://bit.ly/1xdLqU3

http://www.itv.com",,https://i.ytimg.com/vi/j56uo9YzJz8/hqdefault.jpg,2020-10-22 13:09:39.669704,0.0,"['Mainstream News', 'Mainstream News']",Neutral,False,1,6LYwy1w_qqU
lnRbxIHi9zw,BBC America,UCdHkLMxTYwV66Sky1xXVrxQ,1384221850.0,SACHA BARON COHEN Kills Presenter & Accepts Award (Extended) - 2013 Britannia Awards on BBC AMERICA,"Subscribe now: http://bit.ly/1aP6Fo9

Watch more Britannia Awards videos: http://bit.ly/1hDvU0x 

Twitter: http://twitter.com/bbcamerica
Facebook: http://www.facebook.com/bbcamerica
Tumblr: http://bbcamerica.tumblr.com

Watch SACHA BARON COHEN kill the presenter - and then hilariously accept the Charlie Chaplin Award For Excellence In Comedy at the BAFTA LA Jaguar BRITANNIA AWARDS!

Hosted by ROB BRYDON (The Trip, Gavin & Stacey), with 2013 honorees GEORGE CLOONEY, KATHRYN BIGELOW, SACHA BARON COHEN, BENEDICT CUMBERBATCH, IDRIS ELBA and SIR BEN KINGSLEY.",,https://i.ytimg.com/vi/lnRbxIHi9zw/hqdefault.jpg,2020-10-22 13:09:39.669732,0.0,['None'],Neutral,False,1,6LYwy1w_qqU
0rR9IaXH1M0,Jim Jefferies,UCm0DJ7GBsBZ7-Nq5x10c9hQ,1444398028.0,Jim Jefferies -- Gun Control (Part 1) from BARE -- Netflix Special,"See Jim Jefferies Live! 
http://jimjefferies.com/events

Comedian Jim Jefferies breaks down the absurdity of America's obsession with guns in his Netflix special BARE. Part 1 of 2. 

Watch part 2 here: https://youtu.be/a9UFyNy-rw4

Watch BARE in-full on Netflix! Then don't miss Jim's newest special, FREEDUMB. Also available exclusively on Netflix here: https://www.netflix.com/title/80106979

Like Jim on Facebook: https://www.facebook.com/jimjefferies
Follow Jim on Twitter: https://twitter.com/jimjefferies

Jim's Official Website: http://jimjefferies.com/

Be sure to SUBSCRIBE to Jim's Channel!",,https://i.ytimg.com/vi/0rR9IaXH1M0/hqdefault.jpg,2020-10-22 13:09:39.669759,0.0,['None'],Neutral,False,1,6LYwy1w_qqU
