video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date,bias,weight,classifs,classif,pick,round,rec_from,topic_n,topic
t2mXZy9-m0M,CBS This Morning,UC-SJ6nODDmufqBzPBwCvYvQ,1605649023.0,Georgia Secretary of State Raffensperger on continued election pressure from GOP,"Georgia Secretary of State Brad Raffensperger discusses the increased pressure he's facing from fellow Republicans, including Senator Lindsey Graham, ...",,https://i.ytimg.com/vi/t2mXZy9-m0M/hqdefault.jpg,2020-11-17 13:44:26.108552,Neutral,-0.25,"['Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,True,0,start,0,Election
K7rA_5zRw7Y,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,1605609774.0,Americans divided over presidential election results,"ABC's Martha Raddatz travels to Ohio and talks with voters about the 2020 election results and the path forward for our country. ABC News Live Prime, ...",,https://i.ytimg.com/vi/K7rA_5zRw7Y/hqdefault.jpg,2020-11-17 13:44:26.108594,Neutral,-0.3333333333333333,"['PartisanLeft', 'Mainstream News', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start,0,Election
nY-AXsEIW4g,NBC News,UCeY0bbntWzzVIaj2z3QigXg,1605609003.0,Security Experts Weigh In On Trump’s Claims Of Election Fraud | NBC News NOW,"In 2019, NBC News' Jake Ward attended a convention in Las Vegas where hackers attempted to break into voting machines. President Trump referenced that ...",,https://i.ytimg.com/vi/nY-AXsEIW4g/hqdefault.jpg,2020-11-17 13:44:26.108626,Neutral,-0.3333333333333333,"['Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start,0,Election
FTDiSiy5kz8,11Alive,UCzF4Ryn8TKn64md77gS5Q5Q,1605674938.0,Georgia election update with Secretary of State&#39;s Office,Georgia's elections officials will provide their second press conference of the day here on Tuesday at 4 p.m..,,https://i.ytimg.com/vi/FTDiSiy5kz8/hqdefault_live.jpg,2020-11-17 13:44:26.108666,Neutral,0.0,['Mainstream News'],Neutral,False,0,start,0,Election
eAWHsvgf4xU,11Alive,UCzF4Ryn8TKn64md77gS5Q5Q,1605644249.0,Election coverage | Here&#39;s the latest on the uncounted ballots in Floyd County,The investigation into the vote count continues.,,https://i.ytimg.com/vi/eAWHsvgf4xU/hqdefault.jpg,2020-11-17 13:44:26.108694,Neutral,0.0,['Mainstream News'],Neutral,False,0,start,0,Election
Iluy4s2IYp4,EWTN,UCijDos-LUTh9RQvSCMQqN6Q,1605598201.0,President Trump Tweets: &#39;I won the Election!&#39; as He Battles to Claim Presidential Election Victory,"President Donald Trump, nearly two weeks after the 2020 Presidential Election, continues to battle on multiple fronts to ultimately try and win the race. Today the ...",,https://i.ytimg.com/vi/Iluy4s2IYp4/hqdefault.jpg,2020-11-17 13:44:26.108722,Neutral,1.6666666666666667,"['Mainstream News', 'PartisanRight', 'ReligiousConservative']",Far Right,False,0,start,0,Election
WHA_iQUAYlY,11Alive,UCzF4Ryn8TKn64md77gS5Q5Q,1605646888.0,"Election coverage | Uncounted ballots, look at retally results and audit",The county said the uncounted votes could be a computer error.,,https://i.ytimg.com/vi/WHA_iQUAYlY/hqdefault.jpg,2020-11-17 13:44:26.108749,Neutral,0.0,['Mainstream News'],Neutral,False,0,start,0,Election
fl3dtLJVrNg,Global News,UChLtXXpo4Ge1ReTEboVvTDg,1605672276.0,"US election: Mark Zuckerberg, Jack Dorsey testify before Congress over censorship accusations | FULL",The U.S. Senate Judiciary Committee held a hearing Tuesday to question Twitter CEO Jack Dorsey and Facebook CEO Mark Zuckerberg over decisions made ...,,https://i.ytimg.com/vi/fl3dtLJVrNg/hqdefault.jpg,2020-11-17 13:44:26.108777,Neutral,0.0,"['StateFunded', 'Mainstream News']",Neutral,False,0,start,0,Election
0qP3rmZxf4U,NBC News,UCeY0bbntWzzVIaj2z3QigXg,1605582026.0,Maryland Gov. Hogan Calls On Trump To Accept Election Results | NBC News NOW,"Maryland Governor Larry Hogan, a Republican, said ""the time has come"" for President Trump to accept that President-elect Joe Biden won the 2020 election ...",,https://i.ytimg.com/vi/0qP3rmZxf4U/hqdefault.jpg,2020-11-17 13:44:26.108804,Neutral,-0.3333333333333333,"['Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start,0,Election
mKrr5rQx2Wk,CNET Highlights,UCmKtn_HvpfbTu3QV4lhJIMw,1605663276.0,"Ted Cruz SHOUTS at Dorsey about voter fraud, 2020 election","At a Senate Judiciary Committee, Senator Ted Cruz grills Twitter CEO Jack Dorsey about the 2020 election and how his platform is currently monitoring the ...",,https://i.ytimg.com/vi/mKrr5rQx2Wk/hqdefault.jpg,2020-11-17 13:44:26.108832,Neutral,0.0,['None'],Neutral,False,0,start,0,Election
pwq7hbydupw,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,1605671330.0,WATCH LIVE: Georgia secretary of state's office officials on 2020 election,"Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour


Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",,https://i.ytimg.com/vi/pwq7hbydupw/hqdefault_live.jpg,2020-11-17 13:44:26.800458,Neutral,-0.1111111111111111,"['PartisanLeft', 'Mainstream News', 'Educational', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News']",Neutral,True,1,t2mXZy9-m0M,0,Election
UCZ-Zsq6Wjg,NBC News,UCeY0bbntWzzVIaj2z3QigXg,1605605069.0,"Georgia Secretary Of State: Recount ‘Going As Planned,’ Is ’Transparent’ | NBC News NOW","Georgia’s Secretary of State Brad Raffensperger said the recount of votes in the 2020 election is “transparent.” This comes after President Trump tweeted it was a “fake recount.” NBC News’ Josh Lederman reports on how many ballots have been counted and when poll workers expect to be finished.
» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.

Connect with NBC News Online!
NBC News App: https://apps.nbcnews.com/mobile
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC

#BradRaffensperger #2020Election #NBCNews

Georgia Secretary Of State: Recount ‘Going As Planned,’ Is ’Transparent’ | NBC News NOW",,https://i.ytimg.com/vi/UCZ-Zsq6Wjg/hqdefault.jpg,2020-11-17 13:44:26.800519,Neutral,-0.3333333333333333,"['Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,1,t2mXZy9-m0M,0,Election
