video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date,bias,weight,classifs,classif,pick,round,rec_from,topic_n,topic
j7hUb0uH6DM,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,1602657584.0,WATCH: Sen. Kamala Harris questions Supreme Court nominee Amy Coney Barrett,"Sen. Kamala Harris, D-Calif., questioned Judge Amy Coney Barrett on the second day of the Senate Judiciary Committee's Supreme Court confirmation hearing.",,https://i.ytimg.com/vi/j7hUb0uH6DM/hqdefault.jpg,2020-11-04 10:31:09.451348,Neutral,-0.1111111111111111,"['PartisanLeft', 'Mainstream News', 'Educational', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News']",Neutral,True,0,start,0,Kamala Harris
NkS-TyO3aGc,Joe Biden,UCWNpXitY8eJ-ku6M-v25MKw,1604400470.0,Joe Biden &amp; Lady Gaga + Kamala Harris &amp; John Legend | Election Night 2020 Rally in Pennsylvania,"Tomorrow the last voters will head out to cast their ballots in the most important election in our lifetimes. It all comes down to this. Join Joe Biden, Dr. Jill Biden, ...",,https://i.ytimg.com/vi/NkS-TyO3aGc/hqdefault.jpg,2020-11-04 10:31:09.451394,Neutral,-0.5,"['PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Politician']",Neutral,False,0,start,0,Kamala Harris
_Vyqn-7ibeM,NBC News,UCeY0bbntWzzVIaj2z3QigXg,1597921652.0,Watch Sen. Kamala Harris&#39; Full Remarks At The 2020 DNC | NBC News,Watch as Sen. Kamala Harris speaks at the 2020 Democratic National Convention to accept the nomination as Vice President. She reflected on how influential ...,,https://i.ytimg.com/vi/_Vyqn-7ibeM/hqdefault.jpg,2020-11-04 10:31:09.451428,Neutral,-0.3333333333333333,"['Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start,0,Kamala Harris
y3AIjH5E83g,NBC News,UCeY0bbntWzzVIaj2z3QigXg,1604374304.0,Kamala Harris Speaks At Drive-In Voter Mobilization Event | NBC News,"Democratic vice presidential nominee Kamala Harris speaks at a drive-in mobilization event in Bethlehem, Penn. Be sure to read our latest breaking news ...",,https://i.ytimg.com/vi/y3AIjH5E83g/hqdefault.jpg,2020-11-04 10:31:09.451459,Neutral,-0.3333333333333333,"['Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start,0,Kamala Harris
eYJyINK3mVI,FRANCE 24,UCCCPCZNChQdGa9EkATeye4g,1604495564.0,"Qui est Kamala Harris, candidate déjà historique à la vice-présidence des États-Unis ?","La démocrate Kamala #Harris pourrait entrer dans l'Histoire des #Etats-Unis en devenant, si Joe #Biden est élu à la Maison Blanche, la première femme noire à ...",,https://i.ytimg.com/vi/eYJyINK3mVI/hqdefault.jpg,2020-11-04 10:31:09.451489,Neutral,0.0,['None'],Neutral,False,0,start,0,Kamala Harris
9FpKNDItMH8,The New York Times,UCqnbDFdCpuN8CMEg0VuEBqA,1597269606.0,What You Need to Know About Kamala Harris | 2020 Elections,"Joseph R. Biden Jr., the presumptive Democratic nominee, selected Senator Kamala Harris of California as his running mate. She is the first Black woman and ...",,https://i.ytimg.com/vi/9FpKNDItMH8/hqdefault.jpg,2020-11-04 10:31:09.451518,Neutral,-0.5,"['Mainstream News', 'PartisanLeft', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News']",Neutral,False,0,start,0,Kamala Harris
U9iow_mbBnw,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,1604285870.0,WATCH LIVE: Kamala Harris campaigns in Georgia,Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG Find more from PBS NewsHour at https://www.pbs.org/newshour Subscribe to our ...,,https://i.ytimg.com/vi/U9iow_mbBnw/hqdefault.jpg,2020-11-04 10:31:09.451547,Neutral,-0.1111111111111111,"['PartisanLeft', 'Mainstream News', 'Educational', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News']",Neutral,False,0,start,0,Kamala Harris
0I8KwoavEeQ,Kamala Harris,UC0XBsJpPhOLg0k4x9ZwrWzw,1604400896.0,Election Eve Drive-in Event with @Joe Biden and Kamala Harris,,,https://i.ytimg.com/vi/0I8KwoavEeQ/hqdefault.jpg,2020-11-04 10:31:09.451575,Neutral,-0.5,"['PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Politician']",Neutral,False,0,start,0,Kamala Harris
0lOqUu2GpGE,El País,UCnsvJeZO4RigQ898WdDNoBw,1604430390.0,"Elecciones EE UU 2020: KAMALA HARRIS, la mujer de moda",Suscríbete a nuestro canal: http://cort.as/yI0n Visita http://elpais.com Más vídeos de EL PAÍS: http://cort.as/YGC9 Síguenos en Facebook: ...,,https://i.ytimg.com/vi/0lOqUu2GpGE/hqdefault.jpg,2020-11-04 10:31:09.451604,Neutral,0.0,['None'],Neutral,False,0,start,0,Kamala Harris
WIQOa8ujW88,Puthiyathalaimurai TV,UCmyKnNRH0wH-r8I-ceP-dsg,1604514092.0,கமலா வெற்றி பெற்றால் இந்தியாவுக்கு எந்த சாதகமும் இல்லை - கமலா தாய்மாமா | Kamala Harris,கமலா வெற்றி பெற்றால் இந்தியாவுக்கு எந்த சாதகமும் இல்லை - கமலா தாய்மாமா | Kamala Harris ...,,https://i.ytimg.com/vi/WIQOa8ujW88/hqdefault.jpg,2020-11-04 10:31:09.451632,Neutral,0.0,['None'],Neutral,False,0,start,0,Kamala Harris
